question,original_label,bloom_level
Draw a diagram explaining how air pressure affects the weather.,Comprehension,Understand
"Show, through role-play, the final scene in the novel.",Application,Apply
Define CRM and discuss how the CRM can be implemented in the business environment.,Application,Apply
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins.",Comprehension,Understand
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity.,Comprehension,Understand
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,Comprehension,Understand
The structural view of language has several components. List FIVE (5) components.,Knowledge,Remember
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications.,Comprehension,Understand
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface.,Comprehension,Understand
"MVC (Model View Controller) leads to low coupling"". Justify.",Evaluation,Evaluate
Draw the energy band diagram of an intrinsic Si and label the band gap energy.,Comprehension,Understand
Criticize the issues in Principal – Agent Theory.,Analysis,Analyze
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Comprehension,Understand
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension,Understand
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis,Create
Describe ANY FIVE (5) possible scenarios of the project failure.,Knowledge,Remember
Decide which course of action was most effective,Evaluation,Evaluate
"Besides silicon and germanium, name ONE (1) other material which could be used to fabricate transistors.",Comprehension,Understand
State the characteristics of each type of corrosion testing studied,Knowledge,Remember
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate.",Comprehension,Understand
Contrast building in the coastal zone with building in a river floodplain.,Analysis,Analyze
"In a table form, differentiate between RefSeq and GenBank DNA sequences.",Analysis,Analyze
Propose a multimedia presentation for UTAR to promote bachelor's degree courses to potential applicants.,Synthesis,Create
Describe material gathering process.,Knowledge,Remember
Solve the following optimization problem by using the golden section search method and terminate the computation when the length of the interval.,Application,Apply
Explain the functional advantages provided by enzymes with a quaternary structure.,Comprehension,Understand
List the levels in Bloom's Taxonomy.,Knowledge,Remember
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run.",Synthesis,Create
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,Evaluation,Evaluate
"Explain why bogs are considered to be a ""carbon sink"".",Comprehension,Understand
"Critically explain how our statuses, educational qualification and occupation affect our social stratification, social mobility and life chances.",Analysis,Analyze
State the number of autosome and sex-chromosome for a rooster and a hen.,Knowledge,Remember
The foundation is the base on which a building rest and its purpose is to safely transfer the load of a building to a suitable subsoil. Identify the specified bearing loads and give the explanations for each bearing load.,Comprehension,Understand
Illustrate each of these situations with TWO (2) real-life examples.,Comprehension,Understand
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension,Understand
Construct a market strategy for your product using a known strategy as a model.,Application,Apply
Compose a dialogue between Atticus Finch and Tom Robinson when they first met.,Synthesis,Create
The pre-planning stage of a lesson takes into consideration several factors. Name FIVE (5) external factors and briefly explain the importance of each of the factors.,Comprehension,Understand
Discuss the effectiveness of using Expression Language (EL) compared to other methods in JSP.,Analysis,Analyze
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment.,Comprehension,Understand
Explain the FIVE (5) stages of organizational conflict according to Pondy's (1967) model.,Comprehension,Understand
Select the athlete of the century and analyze why you chose this person.,Analysis,Analyze
From a blueprint to describe the article depicted.,Comprehension,Understand
"Identify a property (commutative, additive, etc(",Knowledge,Remember
Draw an image using light and shadow to describe form most closely simulates how we perceive forms in nature.,Comprehension,Understand
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation,Evaluate
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",Comprehension,Understand
Develop an ABC classification system for the 10 items.,Synthesis,Create
Describe the formation of an aquatic dead zone.,Comprehension,Understand
Determine if the two principal components are adequate to explain the variation in the sample that was used to calculate I.,Application,Apply
"""The bullwhip measure can be used to analyze supply chains. Nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications"". Explain this statement.",Comprehension,Understand
Differentiate between humic and non-humic substances.,Analysis,Analyze
"Given that a = -10, b = 2, c = 5 and d = 0. Evaluate the following relational and logical expressions:",Application,Apply
Justify if DHT`s supply chain performance is better than PLI.,Evaluation,Evaluate
Create and perform a play about frogs.,Synthesis,Create
Describe the significance of concrete as a primary material in today's construction.,Comprehension,Understand
"Using a farm animal species of your choice, sketch a graph and describe the scenario that demonstrate a strong genotype by environmental interaction that could influence breeding objectives.",Application,Apply
Explain what is a datum level as used in site surveying for a building project.,Comprehension,Understand
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,Comprehension,Understand
"Define graphic design, product design and environmental design. Provide ONE (1) example for each.",Comprehension,Understand
"In about 70 words, explain how the different components function in language learning.",Comprehension,Understand
How does the law of supply and demand explain the current increase in the price of fruit?,Application,Apply
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation.,Analysis,Analyze
Evaluate appropriate and inappropriate actions of characters.,Evaluation,Evaluate
"In a table, list EIGHT differences between GenBank and RefSeq DNA sequences.",Comprehension,Understand
Apply the run length encoding on the token stream.,Application,Apply
List four traits commonly used for the development of transgenic crops.,Knowledge,Remember
"Briefly explain why authoring software is considered as ""high level tools"" whereas programming languages are known as ""low level tools"".",Comprehension,Understand
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,Evaluation,Evaluate
Discuss the extent to which Value Chain Analysis can be applied in the logistics sector.,Application,Apply
Support your answers with ONE (1) example in everyday life for each strategy.,Evaluation,Evaluate
Give THREE (3) examples of common uses of standby letter of credit.,Comprehension,Understand
State the main missions of National Center for Biotechnology Information (NCBI).,Knowledge,Remember
In what ways do female offenders differ from male offenders,Analysis,Analyze
Evaluate your sketch with ADDIE's model procedure.,Evaluation,Evaluate
Do you think . . . is a good or a bad thing?,Evaluation,Evaluate
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company.,Comprehension,Understand
Compare any FIVE (5) differences between formal networks and informal networks.,Analysis,Analyze
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis,Create
Define knowledge and provide an example of knowledge produced by a vehicle management system.,Knowledge,Remember
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",Evaluation,Evaluate
Express the following percentages as fractions in simplest form,Comprehension,Understand
Explain the basic concepts in construction economics as introduced by Myers (2017).,Comprehension,Understand
Define instructional materials based on your understanding.,Knowledge,Remember
Explain the processing of eukaryotic mRNA transcripts prior to translation. Indicate the chemical bases for each step.,Comprehension,Understand
Timber and plastic are common materials used in construction industry. Elaborate FIVE (5) specific applications for each material in building construction.,Comprehension,Understand
Propose a suitable type of glass that is used to construct a transparent fiat roof for the entrance of the Heritage Hall in Universiti Tunku Abdul Rahman.,Synthesis,Create
What do you recall ...?,Knowledge,Remember
Propose TWO (2) strategies that a minority opinion can overtake the majority and be accepted.,Synthesis,Create
List any SEVEN (7) suggestions for good presentation of your business plan as it is very crucial to convince potential consumers and financers.,Knowledge,Remember
Distinguish between the following giving suitable examples,Analysis,Analyze
"Explain FIVE (5) causes of ""glass ceiling by providing a relevant example for each cause.",Comprehension,Understand
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian.",Synthesis,Create
Create an advertising campaign,Synthesis,Create
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Comprehension,Understand
List FOUR (4) general requirements for floor finishes.,Knowledge,Remember
What questions would you ask if . . .?,Application,Apply
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,Evaluation,Evaluate
"Justify the following statement: “The value of a putable bond is never greater than the value of an otherwise comparable option-free bond.""",Evaluation,Evaluate
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems.,Analysis,Analyze
Describe the function of International Monetary Fund (IMF).,Knowledge,Remember
Briefly explain the desire properties of aggregate in producing concrete mixture.,Comprehension,Understand
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate.,Comprehension,Understand
"State any TWO (2) of Malaysia's rules, regulations or standards which are related to scaffolding and falsework.",Comprehension,Understand
Which of the following actions would probably be least effective in determining the answer?,Evaluation,Evaluate
Suggest a procedure which uses k-means as a subroutine with a better chance than k-means in obtaining good clustering.,Synthesis,Create
List important information you can remember from lesson….,Knowledge,Remember
Define the Demographic characteristics.,Knowledge,Remember
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis,Create
Develop one plausible ending for all three short stories below.,Synthesis,Create
What can I do to investigate this problem further,Analysis,Analyze
Give TWO functions of egg yolks in mayonnaise production.,Comprehension,Understand
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve.",Comprehension,Understand
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation,Evaluate
Judge the value of . . .?,Evaluation,Evaluate
Compose a rhythm or put new words to a known melody.,Synthesis,Create
Draw the hexapeptide Gly-Phe-Asp-Leu-Ala-Glu. Identify the formation of hydrogen bonding in an a-helix form of this hexapeptide.,Comprehension,Understand
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis,Analyze
Concrete mould can be fabricated using steel or plastic. Differentiate the characteristics of concrete mould that is produced by these materials.,Analysis,Analyze
There are TWO (2) common methods used in the semiconductor industry to fabricate single crystal silicon. Analyze the advantage and disadvantage of both methods.,Analysis,Analyze
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation,Evaluate
There are several factors that influence language teaching and language learning. Name and briefly explain the FIVE (5) external factors that you would consider when teaching English Language.,Comprehension,Understand
Predict what would happen if ...,Application,Apply
Classify information systems based on the support IS can provide.,Comprehension,Understand
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",Evaluation,Evaluate
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors.,Evaluation,Evaluate
Classify celebrations into family and community categories.,Comprehension,Understand
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important.,Comprehension,Understand
The impact of using JSTL in software development can significantly reduce its development time. Prove that there is some truth in the statement.,Evaluation,Evaluate
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site.,Application,Apply
Draw and label a titration curve for glutamic acid. Calculate the isoelectric point.,Application,Apply
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications.,Synthesis,Create
Can you distinguish aged rums from unaged rums by smell,Analysis,Analyze
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,Evaluation,Evaluate
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Evaluation,Evaluate
“Domestication of animals does not influence human behavior and lifestyle.” State whether you agree or disagree with the statement. Justify your answer.,Evaluation,Evaluate
Describe price feedback effect by using relevant example.,Comprehension,Understand
Support your answers with ONE (1) example for each factor.,Synthesis,Create
Suggest and explain TWO (2) ways to measure a bank's profitability.,Synthesis,Create
Explain in one sentence what the method incFromN does,Comprehension,Understand
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each.,Application,Apply
Explain different approaches used in hydraulic engineering to achieve its objectives by giving examples.,Comprehension,Understand
Discuss the objectives and the provision of site security in a construction site.,Comprehension,Understand
Explain the causes of historical events,Comprehension,Understand
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluation,Evaluate
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation,Evaluate
Briefly describe how riparian forests help in reducing nitrate contamination in rivers reducing nitrate and streams.,Comprehension,Understand
Look at the symbol. What is the symbol’s purpose on a map?,Knowledge,Remember
Use dynamic programming to help the fortune seeker to identify the route which minimizes the total cost of the policy.,Application,Apply
Compare and contrast between signal and pipe methods in the context of inter process communication.,Analysis,Analyze
Propose Java Web architecture diagram for the above case study and explain.,Synthesis,Create
List down FIVE (5) types of concrete admixture.,Knowledge,Remember
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details.,Evaluation,Evaluate
Discuss major tasks in data preprocessing.,Comprehension,Understand
Autoclave aerated concrete block is gaining popular in high rise construction. Briefly illustrate what are the unique features of the autoclave aerated concrete block.,Comprehension,Understand
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle.",Comprehension,Understand
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives.,Synthesis,Create
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,Knowledge,Remember
How would you express ________________?,Comprehension,Understand
Explain the benefits of Secure Sockets Layer (SSL) in the context of web security.,Comprehension,Understand
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support.,Comprehension,Understand
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",Comprehension,Understand
Write short notes on the structure of RNA.,Comprehension,Understand
Describe THREE (3) deposit liabilities for commercial banks.,Knowledge,Remember
Explain why lossy compression gives better compression.,Comprehension,Understand
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm."" Critically evaluate this statement.",Evaluation,Evaluate
Give THREE examples of symptoms that resemble herbicide damage on plants.,Comprehension,Understand
How would you differentiate between heterodox and mainstream,Analysis,Analyze
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,Analysis,Analyze
Compare and contrast between low context cultures and high context cultures.,Analysis,Analyze
Which of the following is the method for determining the volume of a cylinder?,Knowledge,Remember
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluation,Evaluate
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer.,Evaluation,Evaluate
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation,Evaluate
Explain the term inflation as used in building economics.,Comprehension,Understand
Can you propose an alternative plan to . . . ?,Synthesis,Create
"Assume that you have been assigned to run a Google Ads search advertising campaign for a new café in Kampar, Perak. Recommend FIVE (5) strategies to develop a successful search advertising campaign for the café.",Synthesis,Create
Elaborate ONE (1) scenario where text would be more effective than audio and ONE (1) scenario where audio would be more effective than text in the passing out of data. Explain your answer.,Comprehension,Understand
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension,Understand
Inspect the size of the loaded data: how many objects and variables does the iris data matrix contain?,Analysis,Analyze
who was the first man on the moon,Knowledge,Remember
"Differentiate bonds that are traded at par, premium and discount.",Analysis,Analyze
Briefly explain the differences between a Langmuir-Blodgett (LB) monolayer and a self-assembled monolayer (SAM).,Comprehension,Understand
Discuss the THREE (3) levels of organizational culture outlined by Schein. Provide your discussion with an example for each level.,Comprehension,Understand
Discuss what world-class producers do in regards to product or service design and process design.,Comprehension,Understand
Describe the advantages and disadvantages of foliar application in fruit crops.,Comprehension,Understand
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,Comprehension,Understand
"Optimization of medium and culture conditions of a fermentation process can be conducted by using multifactor experimental design or response surface optimization. With aid of a flow chart, compare and contrast these two methods.",Analysis,Analyze
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis,Create
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing.,Comprehension,Understand
CATH and SCOP are databases that hierarchically classify protein domains according to their structures. Describe the CATH protein classification system.,Comprehension,Understand
Explain the process of ideas generation.,Comprehension,Understand
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs.",Comprehension,Understand
Critically discuss FOUR (4) main dimensions that are used to classify countries based on Hofstede's Cultural Dimensions Theory.,Analysis,Analyze
Describe about application and web servers.,Knowledge,Remember
Define “ecosystem services” and describe how they are benefiting our society.,Comprehension,Understand
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis,Analyze
What criteria would you use to assess...?,Evaluation,Evaluate
Define symmetrical balance and asymmetrical balance. Draw an example for each.,Comprehension,Understand
Discuss ONE (1) limitation and benefit of duration.,Comprehension,Understand
Define the transition state and activation energy in relation to catalytic power of an enzyme.,Comprehension,Understand
Discuss why web developers or programmers would prefer to use Expression Language (EL) compared to other methods in JSP for displaying dynamic content in web browsers.,Analysis,Analyze
Apply the rule of law to a new situation,Application,Apply
Explain important features and characteristics of the flows encountered in hydraulic engineering compared with cases in other fluid engineering.,Comprehension,Understand
Apply shading to produce depth in drawing.,Application,Apply
Explain FOUR (4) categories of unintentional crisis. Provide your answer with an appropriate example for each category.,Comprehension,Understand
Justify whether the enzyme after step 'Size-exclusion chromatography' is pure. Suggest a method to estimate the purity of the enzyme preparation.,Evaluation,Evaluate
"Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Synthesis,Create
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme.",Comprehension,Understand
Restate main idea of story in own words.,Comprehension,Understand
Explain why the story has the title that it does.,Comprehension,Understand
Ion implantation is one of the popular methods to dope semiconductors. Discuss the control parameters for this method.,Comprehension,Understand
Briefly explain the differences between and Langmuir-Blodgett (LB) monolayer and self-assembled monolayer (SAM).,Comprehension,Understand
Explain the concept for the nature of building characteristics.,Comprehension,Understand
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,Evaluation,Evaluate
"In your own words, how would you summarize the story up",Comprehension,Understand
Summarize the data purification process.,Comprehension,Understand
Explain THREE (3) broad categories of e-commerce with examples.,Comprehension,Understand
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm.,Application,Apply
Define attitudes.,Knowledge,Remember
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",Evaluation,Evaluate
In Which part of the world does he live,Knowledge,Remember
Distinguish between 'periodic inspection' and 'continuous inspection'.,Analysis,Analyze
Explain THREE characteristics that distinguish authoritarianism from totalitarianism.,Analysis,Analyze
Discuss FIVE (5) factors that are most likely to influence the effectiveness of upward communication.,Comprehension,Understand
Explain the Media Richness Model. Use the model to discuss how managers can pick the best channel in communicating with staff and support your discussion with a scenario.,Evaluation,Evaluate
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis,Analyze
Explain how auction is related to dynamic pricing.,Comprehension,Understand
Investigate innovations that can enhance future Olympics.,Analysis,Analyze
Differentiate between Putlog and Independent Scaffold.,Analysis,Analyze
Classify frogs toads and other amphibians.,Comprehension,Understand
Write an ABAP program that allows the user to key in a positive integer value.,Synthesis,Create
Conducting a set-induction before presentation has several advantages. List the FIVE (5) reasons for use of the set-induction in a lesson.,Knowledge,Remember
Describe what goes in each of the four areas on the first page of notes,Comprehension,Understand
Define color temperature.,Knowledge,Remember
Draw and label a diagram of a typical stream.,Knowledge,Remember
Identify and describe THREE (3) difficulties in calculating national income accounting.,Comprehension,Understand
List the attributes of the following shape.,Knowledge,Remember
"Discuss how data mining operations which are classification, association, clustering and anomaly detection can be deployed in a variety of industries.",Application,Apply
Illustrate the THREE (3) advantages of silicon over germanium.,Comprehension,Understand
Explain THREE (3) data collection challenges in advertising research.,Comprehension,Understand
How would you investigate this abnormality,Analysis,Analyze
How much time did he took to build a house,Knowledge,Remember
